record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
2,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
3,1207959556,2008-04-12 00:19:16,0,0,0,0,0,[]
4,1208025088,2008-04-12 18:31:28,0,0,0,0,0,[]
5,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
6,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
7,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
8,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
9,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
10,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
11,1207959552,2008-04-12 00:19:12,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
12,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
13,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
14,1207959552,2008-04-12 00:19:12,20,4,20,0,0,"[0, 0, 0, 0]"
15,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
16,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
17,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
18,1207959552,2008-04-12 00:19:12,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
19,1207959552,2008-04-12 00:19:12,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
20,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
21,1207959552,2008-04-12 00:19:12,20,4,20,0,0,"[0, 0, 0, 0]"
22,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
23,1207959552,2008-04-12 00:19:12,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
24,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
25,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
26,1207960576,2008-04-12 00:36:16,0,0,0,0,0,[]
27,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
28,1207959552,2008-04-12 00:19:12,0,0,0,0,0,[]
29,1207959552,2008-04-12 00:19:12,20,4,20,0,0,"[0, 0, 0, 0]"
30,1207975936,2008-04-12 04:52:16,0,0,0,0,0,[]
31,1207975936,2008-04-12 04:52:16,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
32,1207976464,2008-04-12 05:01:04,20,4,20,0,0,"[0, 0, 0, 0]"
33,1207959584,2008-04-12 00:19:44,0,0,0,0,0,[]
34,1207986218,2008-04-12 07:43:38,60,12,40,20,0,"[1, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
35,1207988794,2008-04-12 08:26:34,0,0,0,0,0,[]
36,1207994368,2008-04-12 09:59:28,20,4,20,0,0,"[0, 0, 0, 0]"
37,1208092296,2008-04-13 13:11:36,60,12,40,20,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
38,1208091816,2008-04-13 13:03:36,40,8,30,10,0,"[0, 0, 0, 0, 0, 0, 8, 14]"
