record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1762263041,2025-11-04 13:30:41,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
2,1762279473,2025-11-04 18:04:33,20,4,20,0,0,"[0, 0, 0, 0]"
3,1762304000,2025-11-05 00:53:20,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,1762314752,2025-11-05 03:52:32,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,1762318368,2025-11-05 04:52:48,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,1762329216,2025-11-05 07:53:36,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
7,1762391246,2025-11-06 01:07:26,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0]"
8,1762394846,2025-11-06 02:07:26,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 0]"
