record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1762263041,2025-11-04 13:30:41,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
2,1762264609,2025-11-04 13:56:49,0,0,0,0,0,[]
3,1762279473,2025-11-04 18:04:33,20,4,20,0,0,"[0, 0, 0, 0]"
4,1762299904,2025-11-04 23:45:04,0,0,0,0,0,[]
5,1762304000,2025-11-05 00:53:20,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,1762314752,2025-11-05 03:52:32,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,1762318368,2025-11-05 04:52:48,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,1762329216,2025-11-05 07:53:36,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,1762391246,2025-11-06 01:07:26,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0]"
10,1762394846,2025-11-06 02:07:26,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 0]"
11,1762398446,2025-11-06 03:07:26,60,12,55,5,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
12,1762402046,2025-11-06 04:07:26,60,12,40,20,0,"[1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
13,1762405646,2025-11-06 05:07:26,60,12,35,25,0,"[0, 0, 0, 0, 3, 1, 0, 0, 0, 4, 0, 2]"
14,1762409246,2025-11-06 06:07:26,55,11,15,40,0,"[0, 0, 0, 1, 0, 1, 0, 0, 3, 7, 2]"
15,1762411523,2025-11-06 06:45:23,60,12,0,60,0,"[9, 1, 4, 13, 3, 2, 0, 5, 0, 2, 3, 0]"
16,1762415123,2025-11-06 07:45:23,15,3,0,15,0,"[5, 0, 5]"
17,1762416621,2025-11-06 08:10:21,60,12,20,40,0,"[3, 1, 0, 0, 0, 0, 8, 0, 4, 13, 1, 0]"
18,1762420221,2025-11-06 09:10:21,60,12,25,35,0,"[0, 0, 7, 0, 0, 7, 5, 0, 0, 0, 0, 0]"
19,1762423821,2025-11-06 10:10:21,15,3,0,10,5,"[0, 23, 14]"
20,1762424342,2025-11-06 10:19:02,30,6,0,25,5,"[9, 1, 7, 23, 16, 9]"
21,1762426058,2025-11-06 10:47:38,45,9,0,40,5,"[8, 2, 7, 0, 0, 8, 11, 24, 10]"
22,1762428710,2025-11-06 11:31:50,60,12,0,60,0,"[2, 1, 6, 12, 10, 5, 5, 3, 2, 20, 13, 16]"
23,1762432310,2025-11-06 12:31:50,5,1,0,5,0,[20]
24,1762440877,2025-11-06 14:54:37,45,9,15,30,0,"[5, 0, 0, 0, 1, 11, 0, 13, 15]"
25,1762444005,2025-11-06 15:46:45,45,9,25,20,0,"[3, 0, 11, 0, 0, 0, 0, 0, 7]"
26,1762448508,2025-11-06 17:01:48,60,12,35,25,0,"[0, 0, 0, 0, 0, 0, 0, 7, 13, 4, 20, 12]"
27,1762452108,2025-11-06 18:01:48,5,1,0,5,0,[17]
28,1762468814,2025-11-06 22:40:14,60,12,25,35,0,"[0, 2, 3, 5, 0, 16, 20, 0, 0, 0, 0, 0]"
29,1762469547,2025-11-06 22:52:27,20,4,0,20,0,"[2, 5, 2, 0]"
30,1762470644,2025-11-06 23:10:44,35,7,0,35,0,"[1, 1, 1, 1, 11, 17, 15]"
31,1762472414,2025-11-06 23:40:14,60,12,50,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
32,1762476014,2025-11-07 00:40:14,60,12,40,20,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2]"
33,1762479614,2025-11-07 01:40:14,60,12,55,5,0,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,1762483214,2025-11-07 02:40:14,60,12,15,45,0,"[0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
35,1762486814,2025-11-07 03:40:14,60,12,40,20,0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5]"
36,1762487727,2025-11-07 03:55:27,60,12,15,45,0,"[5, 6, 3, 0, 0, 0, 12, 5, 19, 8, 19, 4]"
37,1762490414,2025-11-07 04:40:14,40,8,35,5,0,"[0, 0, 0, 0, 0, 0, 0, 16]"
38,1762491327,2025-11-07 04:55:27,15,3,0,15,0,"[8, 14, 7]"
39,1762493691,2025-11-07 05:34:51,60,12,30,25,5,"[1, 0, 0, 0, 0, 0, 0, 20, 7, 22, 10, 12]"
40,1762497291,2025-11-07 06:34:51,60,12,0,60,0,"[13, 18, 20, 1, 18, 10, 2, 3, 9, 0, 2, 0]"
41,1762500510,2025-11-07 07:28:30,20,4,15,0,5,"[0, 0, 0, 22]"
42,1762500891,2025-11-07 07:34:51,20,4,0,15,5,"[5, 15, 12, 23]"
43,1762502008,2025-11-07 07:53:28,60,12,35,25,0,"[0, 0, 0, 3, 1, 0, 0, 0, 0, 10, 8, 0]"
44,1762505608,2025-11-07 08:53:28,50,10,0,50,0,"[0, 0, 9, 8, 1, 1, 9, 2, 20, 0]"
45,1762507639,2025-11-07 09:27:19,30,6,0,30,0,"[3, 0, 0, 1, 4, 16]"
46,1762509299,2025-11-07 09:54:59,35,7,15,10,10,"[3, 0, 0, 0, 21, 23, 20]"
47,1762511423,2025-11-07 10:30:23,45,9,0,45,0,"[8, 1, 6, 18, 3, 12, 0, 15, 7]"
48,1762776184,2025-11-10 12:03:04,60,12,0,60,0,"[1, 3, 5, 8, 1, 8, 4, 6, 4, 2, 12, 4]"
49,1762779784,2025-11-10 13:03:04,15,3,0,15,0,"[2, 4, 2]"
50,1762784937,2025-11-10 14:28:57,60,12,0,60,0,"[2, 0, 4, 0, 5, 0, 11, 0, 2, 6, 0, 4]"
51,1762787907,2025-11-10 15:18:27,60,12,0,60,0,"[8, 0, 5, 0, 3, 9, 3, 11, 2, 11, 1, 0]"
52,1762791507,2025-11-10 16:18:27,45,9,30,15,0,"[0, 0, 0, 2, 0, 0, 0, 10, 4]"
