record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
61,1765878543,2025-12-16 09:49:03,40,8,0,35,5,"[10, 1, 0, 10, 1, 17, 7, 24]"
62,1765888785,2025-12-16 12:39:45,15,3,0,15,0,"[6, 5, 4]"
63,1765893677,2025-12-16 14:01:17,60,12,30,30,0,"[6, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 16]"
64,1765897277,2025-12-16 15:01:17,15,3,0,15,0,"[15, 14, 0]"
65,1765901174,2025-12-16 16:06:14,25,5,0,25,0,"[7, 4, 1, 0, 0]"
66,1765908842,2025-12-16 18:14:02,20,4,0,15,5,"[0, 0, 1, 23]"
67,1765911844,2025-12-16 19:04:04,60,12,0,60,0,"[1, 0, 3, 0, 3, 1, 2, 7, 1, 0, 0, 1]"
68,1765915444,2025-12-16 20:04:04,60,12,0,60,0,"[0, 0, 1, 5, 5, 0, 4, 6, 13, 1, 0, 0]"
69,1765919044,2025-12-16 21:04:04,60,12,15,45,0,"[0, 0, 0, 3, 0, 1, 11, 2, 0, 0, 1, 0]"
70,1765922546,2025-12-16 22:02:26,60,12,0,60,0,"[1, 0, 0, 5, 0, 3, 1, 1, 0, 15, 8, 20]"
71,1765922644,2025-12-16 22:04:04,50,10,0,50,0,"[0, 1, 0, 0, 1, 2, 1, 0, 0, 6]"
72,1765926146,2025-12-16 23:02:26,60,12,0,60,0,"[3, 1, 2, 0, 0, 2, 1, 0, 2, 1, 0, 1]"
73,1765929555,2025-12-16 23:59:15,30,6,25,5,0,"[1, 0, 0, 0, 0, 0]"
74,1765929746,2025-12-17 00:02:26,20,4,20,0,0,"[0, 0, 0, 0]"
