record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1762547128,2025-11-07 20:25:28,60,12,55,5,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
2,1762550728,2025-11-07 21:25:28,60,12,50,10,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3]"
3,1762554328,2025-11-07 22:25:28,60,12,40,20,0,"[0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
4,1762557928,2025-11-07 23:25:28,15,3,15,0,0,"[0, 0, 0]"
5,1762598466,2025-11-08 10:41:06,45,9,15,25,5,"[1, 3, 0, 14, 24, 0, 0, 0, 16]"
