record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1765632332,2025-12-13 13:25:32,15,3,0,15,0,"[2, 1, 0]"
2,1765635950,2025-12-13 14:25:50,20,4,0,20,0,"[0, 0, 1, 1]"
3,1765637171,2025-12-13 14:46:11,55,11,0,55,0,"[0, 2, 1, 3, 1, 0, 0, 1, 2, 2, 2]"
4,1765655124,2025-12-13 19:45:24,30,6,0,30,0,"[4, 2, 0, 9, 0, 1]"
5,1765659035,2025-12-13 20:50:35,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,1765662635,2025-12-13 21:50:35,60,12,40,20,0,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
7,1765666235,2025-12-13 22:50:35,60,12,35,25,0,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1]"
8,1765669835,2025-12-13 23:50:35,60,12,45,15,0,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,1765673435,2025-12-14 00:50:35,60,12,25,35,0,"[0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 3]"
10,1765674937,2025-12-14 01:15:37,60,12,30,30,0,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0]"
11,1765677035,2025-12-14 01:50:35,50,10,35,15,0,"[0, 0, 0, 0, 5, 0, 0, 0, 5, 3]"
12,1765678537,2025-12-14 02:15:37,25,5,0,25,0,"[1, 2, 12, 1, 0]"
13,1765679223,2025-12-14 02:27:03,60,12,0,60,0,"[3, 0, 0, 3, 18, 9, 3, 16, 13, 1, 1, 0]"
14,1765682389,2025-12-14 03:19:49,25,5,0,25,0,"[0, 0, 2, 0, 3]"
15,1765682823,2025-12-14 03:27:03,10,2,0,10,0,"[0, 0]"
16,1765685101,2025-12-14 04:05:01,60,12,45,15,0,"[9, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
17,1765688701,2025-12-14 05:05:01,60,12,40,15,5,"[0, 0, 0, 25, 13, 0, 0, 0, 0, 0, 3, 0]"
18,1765692301,2025-12-14 06:05:01,60,12,35,25,0,"[3, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
19,1765695901,2025-12-14 07:05:01,60,12,15,45,0,"[0, 0, 0, 2, 0, 3, 0, 0, 3, 6, 5, 0]"
20,1765699501,2025-12-14 08:05:01,10,2,0,10,0,"[1, 17]"
21,1765710517,2025-12-14 11:08:37,55,11,0,50,5,"[3, 0, 5, 6, 23, 15, 2, 5, 10, 19, 3]"
22,1765717621,2025-12-14 13:07:01,20,4,0,20,0,"[4, 9, 0, 12]"
23,1765719547,2025-12-14 13:39:07,40,8,0,35,5,"[1, 1, 0, 0, 2, 23, 10, 3]"
24,1765727787,2025-12-14 15:56:27,20,4,0,15,5,"[9, 2, 2, 22]"
25,1765732505,2025-12-14 17:15:05,25,5,0,25,0,"[0, 2, 0, 0, 3]"
26,1765739776,2025-12-14 19:16:16,50,10,0,45,5,"[6, 0, 3, 2, 13, 23, 0, 0, 6, 0]"
27,1765745449,2025-12-14 20:50:49,60,12,25,35,0,"[9, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0]"
28,1765749049,2025-12-14 21:50:49,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
29,1765752649,2025-12-14 22:50:49,60,12,30,30,0,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
30,1765756249,2025-12-14 23:50:49,60,12,25,35,0,"[0, 0, 1, 5, 0, 3, 1, 0, 0, 0, 0, 0]"
31,1765759849,2025-12-15 00:50:49,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,1765763449,2025-12-15 01:50:49,60,12,45,15,0,"[0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0]"
33,1765767049,2025-12-15 02:50:49,60,12,30,30,0,"[0, 0, 0, 1, 6, 1, 0, 0, 0, 19, 5, 3]"
34,1765769675,2025-12-15 03:34:35,40,8,15,25,0,"[0, 0, 0, 8, 2, 0, 3, 15]"
35,1765770649,2025-12-15 03:50:49,10,2,0,10,0,"[0, 1]"
36,1765773766,2025-12-15 04:42:46,60,12,0,60,0,"[1, 6, 0, 0, 1, 0, 0, 13, 0, 11, 2, 0]"
37,1765777366,2025-12-15 05:42:46,60,12,20,40,0,"[1, 0, 10, 0, 0, 6, 17, 4, 0, 0, 0, 0]"
38,1765779165,2025-12-15 06:12:45,40,8,15,25,0,"[3, 4, 0, 0, 0, 1, 7, 16]"
39,1765780966,2025-12-15 06:42:46,10,2,0,10,0,"[0, 2]"
40,1765787001,2025-12-15 08:23:21,20,4,0,20,0,"[3, 0, 0, 6]"
41,1765792769,2025-12-15 09:59:29,30,6,0,30,0,"[0, 2, 0, 0, 1, 4]"
42,1765797215,2025-12-15 11:13:35,35,7,0,35,0,"[0, 2, 1, 13, 7, 12, 5]"
43,1765803704,2025-12-15 13:01:44,35,7,0,35,0,"[1, 0, 2, 1, 0, 0, 1]"
44,1765807686,2025-12-15 14:08:06,60,12,0,60,0,"[0, 1, 2, 2, 1, 0, 3, 0, 2, 3, 0, 0]"
45,1765811286,2025-12-15 15:08:06,30,6,0,30,0,"[1, 0, 1, 1, 1, 1]"
46,1765817054,2025-12-15 16:44:14,30,6,0,30,0,"[0, 2, 2, 2, 1, 12]"
