record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1765779147,2025-12-15 06:12:27,40,8,0,35,5,"[4, 1, 0, 1, 3, 3, 13, 22]"
2,1765826034,2025-12-15 19:13:54,60,12,0,60,0,"[4, 1, 4, 6, 1, 1, 0, 0, 3, 0, 3, 3]"
3,1765829634,2025-12-15 20:13:54,60,12,0,60,0,"[1, 3, 2, 2, 1, 1, 1, 2, 2, 4, 2, 4]"
4,1765833234,2025-12-15 21:13:54,60,12,0,60,0,"[1, 4, 2, 1, 5, 1, 11, 4, 2, 2, 14, 2]"
5,1765836834,2025-12-15 22:13:54,60,12,0,60,0,"[2, 0, 2, 0, 3, 2, 6, 3, 2, 0, 0, 5]"
6,1765840434,2025-12-15 23:13:54,60,12,0,60,0,"[6, 4, 8, 1, 2, 1, 0, 0, 4, 1, 16, 4]"
7,1765841837,2025-12-15 23:37:17,60,12,0,60,0,"[4, 1, 1, 1, 5, 4, 0, 2, 0, 0, 4, 11]"
8,1765844034,2025-12-16 00:13:54,30,6,0,30,0,"[1, 0, 3, 4, 0, 14]"
9,1765845437,2025-12-16 00:37:17,40,8,0,40,0,"[17, 4, 3, 1, 1, 0, 1, 5]"
10,1765846672,2025-12-16 00:57:52,60,12,45,15,0,"[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0]"
11,1765850272,2025-12-16 01:57:52,60,12,40,20,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11, 0]"
12,1765853872,2025-12-16 02:57:52,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,1765857472,2025-12-16 03:57:52,60,12,40,20,0,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1]"
14,1765861072,2025-12-16 04:57:52,60,12,35,25,0,"[2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 5]"
15,1765864672,2025-12-16 05:57:52,60,12,55,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
16,1765868272,2025-12-16 06:57:52,45,9,20,25,0,"[1, 0, 0, 0, 0, 3, 0, 2, 12]"
17,1765929344,2025-12-16 23:55:44,35,7,25,10,0,"[11, 0, 0, 0, 0, 0, 1]"
