Timestamp,X (g),Y (g),Z (g),Magnitude (g)
17.133,0.156250,-0.953125,-0.093750,0.970387
17.133,0.156250,-0.953125,-0.093750,0.970387
17.133,0.171875,-0.937500,-0.093750,0.957725
17.133,0.156250,-0.921875,-0.109375,0.941398
17.172,0.171875,-0.921875,-0.125000,0.946055
17.204,0.171875,-0.937500,-0.093750,0.957725
17.204,0.171875,-0.968750,-0.109375,0.989940
17.206,0.171875,-0.953125,-0.093750,0.973025
17.243,0.171875,-0.968750,-0.078125,0.986976
17.244,0.140625,-0.968750,-0.078125,0.982016
17.284,0.156250,-0.968750,-0.062500,0.983258
17.350,0.156250,-0.968750,-0.093750,0.985738
17.351,0.140625,-0.953125,-0.093750,0.967994
17.351,0.125000,-0.937500,-0.093750,0.950432
17.352,0.140625,-0.953125,-0.093750,0.967994
17.364,0.156250,-0.953125,-0.078125,0.969002
17.365,0.156250,-0.937500,-0.093750,0.955044
17.407,0.171875,-0.953125,-0.078125,0.971644
17.443,0.171875,-0.968750,-0.078125,0.986976
17.444,0.156250,-0.968750,-0.062500,0.983258
17.444,0.171875,-0.953125,-0.062500,0.970513
17.485,0.171875,-0.968750,-0.078125,0.986976
17.486,0.187500,-0.968750,-0.093750,0.991172
17.534,0.171875,-0.968750,-0.078125,0.986976
17.580,0.156250,-0.968750,-0.062500,0.983258
17.581,0.156250,-0.968750,-0.062500,0.983258
17.581,0.156250,-0.968750,-0.062500,0.983258
17.606,0.140625,-0.968750,-0.078125,0.982016
17.607,0.140625,-0.953125,-0.062500,0.965468
17.644,0.156250,-0.953125,-0.062500,0.967868
17.739,0.156250,-0.953125,-0.062500,0.967868
17.743,0.156250,-0.953125,-0.062500,0.967868
17.743,0.156250,-0.953125,-0.062500,0.967868
17.744,0.171875,-0.953125,-0.062500,0.970513
17.745,0.171875,-0.968750,-0.062500,0.985862
17.777,0.171875,-0.968750,-0.046875,0.984995
17.803,0.187500,-0.968750,-0.062500,0.988706
17.804,0.171875,-0.968750,-0.062500,0.985862
17.804,0.171875,-0.968750,-0.046875,0.984995
17.811,0.187500,-0.968750,-0.046875,0.987841
17.843,0.187500,-0.953125,-0.046875,0.972523
17.844,0.187500,-0.937500,-0.062500,0.958107
17.885,0.203125,-0.937500,-0.062500,0.961287
