Timestamp,X (g),Y (g),Z (g),Magnitude (g)
17.705,0.093750,-0.890625,0.343750,0.959253
17.707,0.093750,-0.890625,0.328125,0.953765
17.712,0.093750,-0.890625,0.312500,0.948503
17.712,0.093750,-0.906250,0.328125,0.968372
17.712,0.093750,-0.890625,0.328125,0.953765
17.746,0.093750,-0.890625,0.328125,0.953765
17.785,0.109375,-0.906250,0.328125,0.970009
17.785,0.109375,-0.890625,0.328125,0.955428
17.788,0.125000,-0.890625,0.343750,0.962809
17.841,0.109375,-0.906250,0.343750,0.975406
17.842,0.093750,-0.906250,0.328125,0.968372
17.865,0.109375,-0.890625,0.328125,0.955428
17.905,0.109375,-0.906250,0.343750,0.975406
17.946,0.093750,-0.906250,0.343750,0.973777
17.947,0.109375,-0.921875,0.328125,0.984623
17.996,0.093750,-0.921875,0.328125,0.983010
18.028,0.093750,-0.921875,0.328125,0.983010
18.028,0.109375,-0.906250,0.312500,0.964836
18.028,0.093750,-0.906250,0.312500,0.963190
18.071,0.109375,-0.906250,0.312500,0.964836
18.071,0.109375,-0.906250,0.312500,0.964836
18.108,0.125000,-0.906250,0.312500,0.966732
18.147,0.109375,-0.890625,0.296875,0.945151
18.147,0.109375,-0.890625,0.296875,0.945151
18.147,0.093750,-0.890625,0.312500,0.948503
18.185,0.093750,-0.890625,0.312500,0.948503
18.186,0.093750,-0.890625,0.312500,0.948503
18.225,0.093750,-0.890625,0.312500,0.948503
18.267,0.109375,-0.906250,0.312500,0.964836
18.270,0.093750,-0.890625,0.296875,0.943471
18.275,0.093750,-0.906250,0.312500,0.963190
18.277,0.109375,-0.906250,0.296875,0.959889
18.306,0.093750,-0.921875,0.296875,0.973025
18.345,0.093750,-0.921875,0.296875,0.973025
18.386,0.093750,-0.921875,0.281250,0.968372
18.386,0.093750,-0.921875,0.281250,0.968372
18.387,0.078125,-0.906250,0.296875,0.956832
18.387,0.093750,-0.921875,0.281250,0.968372
18.428,0.093750,-0.906250,0.281250,0.953509
18.429,0.093750,-0.906250,0.281250,0.953509
18.470,0.093750,-0.906250,0.265625,0.949018
18.505,0.078125,-0.906250,0.265625,0.947602
18.505,0.093750,-0.906250,0.250000,0.944764
18.506,0.093750,-0.906250,0.250000,0.944764
18.545,0.078125,-0.921875,0.265625,0.962556
18.545,0.078125,-0.921875,0.265625,0.962556
18.585,0.078125,-0.906250,0.265625,0.947602
18.625,0.078125,-0.921875,0.281250,0.966984
18.625,0.078125,-0.921875,0.265625,0.962556
18.626,0.078125,-0.937500,0.281250,0.981892
18.668,0.078125,-0.937500,0.296875,0.986481
18.669,0.078125,-0.937500,0.296875,0.986481
18.708,0.078125,-0.953125,0.312500,1.006085
18.745,0.062500,-0.937500,0.296875,0.985367
18.745,0.062500,-0.921875,0.312500,0.975406
18.746,0.062500,-0.921875,0.296875,0.970513
18.748,0.078125,-0.921875,0.296875,0.971644
18.785,0.078125,-0.921875,0.281250,0.966984
18.785,0.078125,-0.921875,0.265625,0.962556
18.825,0.078125,-0.921875,0.265625,0.962556
18.865,0.093750,-0.921875,0.281250,0.968372
18.865,0.078125,-0.921875,0.265625,0.962556
18.866,0.093750,-0.921875,0.265625,0.963950
18.989,0.093750,-0.921875,0.281250,0.968372
18.991,0.093750,-0.921875,0.281250,0.968372
18.995,0.093750,-0.921875,0.281250,0.968372
18.999,0.093750,-0.921875,0.265625,0.963950
19.027,0.093750,-0.921875,0.250000,0.959762
19.031,0.078125,-0.921875,0.234375,0.954405
19.067,0.062500,-0.906250,0.234375,0.938151
19.068,0.062500,-0.921875,0.234375,0.953253
19.107,0.062500,-0.921875,0.203125,0.946055
19.187,0.046875,-0.937500,0.203125,0.960397
19.188,0.046875,-0.921875,0.187500,0.941917
19.188,0.046875,-0.921875,0.171875,0.938931
19.188,0.078125,-0.937500,0.171875,0.956321
19.189,0.078125,-0.937500,0.171875,0.956321
19.226,0.078125,-0.921875,0.187500,0.943988
19.227,0.078125,-0.937500,0.203125,0.962429
19.232,0.062500,-0.921875,0.203125,0.946055
19.265,0.062500,-0.921875,0.187500,0.942823
19.266,0.062500,-0.906250,0.171875,0.924520
19.306,0.046875,-0.875000,0.140625,0.887467
19.306,0.062500,-0.859375,0.109375,0.868559
19.345,0.062500,-0.828125,0.078125,0.834147
19.387,0.062500,-0.765625,0.078125,0.772134
19.390,0.062500,-0.718750,0.062500,0.724164
19.393,0.046875,-0.671875,0.046875,0.675137
19.428,0.062500,-0.625000,0.062500,0.631219
19.429,0.093750,-0.593750,0.093750,0.608373
19.470,0.125000,-0.593750,0.125000,0.619507
19.471,0.125000,-0.593750,0.156250,0.626561
19.506,0.109375,-0.593750,0.203125,0.636994
19.507,0.109375,-0.625000,0.234375,0.676402
19.545,0.093750,-0.671875,0.281250,0.734375
19.550,0.093750,-0.703125,0.296875,0.768966
19.587,0.125000,-0.750000,0.328125,0.828125
19.627,0.140625,-0.781250,0.375000,0.877925
19.629,0.156250,-0.812500,0.406250,0.921743
19.630,0.140625,-0.828125,0.421875,0.939971
19.665,0.140625,-0.859375,0.437500,0.974529
19.665,0.156250,-0.890625,0.453125,1.011410
19.705,0.156250,-0.906250,0.468750,1.032197
19.706,0.156250,-0.906250,0.468750,1.032197
19.707,0.156250,-0.921875,0.484375,1.053037
19.745,0.140625,-0.921875,0.484375,1.050832
19.746,0.156250,-0.906250,0.484375,1.039386
19.786,0.171875,-0.921875,0.500000,1.062730
19.786,0.187500,-0.921875,0.546875,1.088155
