record_number,utc_timestamp,datetime_utc,duration_minutes,interval_count,deep_sleep_min,light_sleep_min,awake_min,activity_indices
1,1762263041,2025-11-04 13:30:41,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
2,1762264609,2025-11-04 13:56:49,0,0,0,0,0,[]
3,1762279473,2025-11-04 18:04:33,20,4,20,0,0,"[0, 0, 0, 0]"
4,1762299904,2025-11-04 23:45:04,0,0,0,0,0,[]
5,1762304000,2025-11-05 00:53:20,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,1762314752,2025-11-05 03:52:32,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,1762318368,2025-11-05 04:52:48,60,12,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,1762329216,2025-11-05 07:53:36,40,8,40,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]"
9,1762391246,2025-11-06 01:07:26,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0]"
10,1762394846,2025-11-06 02:07:26,60,12,45,15,0,"[0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 0]"
11,1762398446,2025-11-06 03:07:26,60,12,55,5,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
12,1762402046,2025-11-06 04:07:26,60,12,40,20,0,"[1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
13,1762405646,2025-11-06 05:07:26,60,12,35,25,0,"[0, 0, 0, 0, 3, 1, 0, 0, 0, 4, 0, 2]"
14,1762409246,2025-11-06 06:07:26,55,11,15,40,0,"[0, 0, 0, 1, 0, 1, 0, 0, 3, 7, 2]"
15,1762411523,2025-11-06 06:45:23,60,12,0,60,0,"[9, 1, 4, 13, 3, 2, 0, 5, 0, 2, 3, 0]"
16,1762415123,2025-11-06 07:45:23,15,3,0,15,0,"[5, 0, 5]"
17,1762416621,2025-11-06 08:10:21,60,12,20,40,0,"[3, 1, 0, 0, 0, 0, 8, 0, 4, 13, 1, 0]"
18,1762420221,2025-11-06 09:10:21,60,12,25,35,0,"[0, 0, 7, 0, 0, 7, 5, 0, 0, 0, 0, 0]"
19,1762423821,2025-11-06 10:10:21,15,3,0,10,5,"[0, 23, 14]"
20,1762424342,2025-11-06 10:19:02,30,6,0,25,5,"[9, 1, 7, 23, 16, 9]"
21,1762426058,2025-11-06 10:47:38,45,9,0,40,5,"[8, 2, 7, 0, 0, 8, 11, 24, 10]"
22,1762428710,2025-11-06 11:31:50,60,12,0,60,0,"[2, 1, 6, 12, 10, 5, 5, 3, 2, 20, 13, 16]"
23,1762432310,2025-11-06 12:31:50,5,1,0,5,0,[20]
24,1762440877,2025-11-06 14:54:37,45,9,15,30,0,"[5, 0, 0, 0, 1, 11, 0, 13, 15]"
25,1762444005,2025-11-06 15:46:45,45,9,25,20,0,"[3, 0, 11, 0, 0, 0, 0, 0, 7]"
26,1762448508,2025-11-06 17:01:48,60,12,35,25,0,"[0, 0, 0, 0, 0, 0, 0, 7, 13, 4, 20, 12]"
27,1762452108,2025-11-06 18:01:48,5,1,0,5,0,[17]
28,1762469547,2025-11-06 22:52:27,20,4,0,20,0,"[2, 5, 2, 0]"
29,1762470644,2025-11-06 23:10:44,35,7,0,35,0,"[1, 1, 1, 1, 11, 17, 15]"
