Timestamp,X (g),Y (g),Z (g),Magnitude (g)
14.917,-0.406250,-0.875000,0.218750,0.989199
14.995,-0.390625,-0.875000,0.203125,0.979527
15.025,-0.375000,-0.859375,0.203125,0.959380
15.101,-0.375000,-0.828125,0.203125,0.931491
15.139,-0.343750,-0.843750,0.218750,0.936979
15.139,-0.359375,-0.843750,0.234375,0.946571
15.139,-0.343750,-0.843750,0.218750,0.936979
15.140,-0.343750,-0.843750,0.250000,0.944764
15.142,-0.375000,-0.843750,0.281250,0.965215
15.142,-0.359375,-0.828125,0.281250,0.945538
15.213,-0.343750,-0.843750,0.281250,0.953509
15.214,-0.343750,-0.828125,0.281250,0.939711
15.251,-0.328125,-0.828125,0.281250,0.934108
15.254,-0.328125,-0.812500,0.296875,0.925179
15.254,-0.328125,-0.828125,0.296875,0.938931
15.254,-0.328125,-0.828125,0.281250,0.934108
15.254,-0.343750,-0.828125,0.281250,0.939711
15.254,-0.343750,-0.828125,0.281250,0.939711
15.289,-0.359375,-0.812500,0.281250,0.931884
15.289,-0.343750,-0.812500,0.296875,0.930836
15.293,-0.375000,-0.796875,0.296875,0.929392
15.402,-0.390625,-0.812500,0.312500,0.954149
15.403,-0.406250,-0.812500,0.328125,0.965847
15.403,-0.406250,-0.796875,0.328125,0.952741
15.404,-0.406250,-0.796875,0.328125,0.952741
15.405,-0.406250,-0.796875,0.312500,0.947473
15.405,-0.406250,-0.812500,0.281250,0.950945
15.443,-0.390625,-0.812500,0.296875,0.949146
15.443,-0.390625,-0.828125,0.281250,0.957852
15.444,-0.390625,-0.828125,0.281250,0.957852
15.444,-0.390625,-0.828125,0.281250,0.957852
15.445,-0.390625,-0.828125,0.281250,0.957852
15.446,-0.375000,-0.828125,0.296875,0.956321
15.477,-0.359375,-0.828125,0.281250,0.945538
15.477,-0.359375,-0.843750,0.281250,0.959253
15.477,-0.359375,-0.828125,0.296875,0.950303
15.479,-0.359375,-0.828125,0.296875,0.950303
15.591,-0.375000,-0.843750,0.296875,0.969883
15.663,-0.359375,-0.843750,0.296875,0.963950
15.663,-0.375000,-0.843750,0.296875,0.969883
15.664,-0.359375,-0.843750,0.296875,0.963950
15.665,-0.359375,-0.843750,0.296875,0.963950
15.665,-0.359375,-0.843750,0.296875,0.963950
15.666,-0.343750,-0.828125,0.296875,0.944505
15.739,-0.343750,-0.843750,0.296875,0.958234
15.739,-0.359375,-0.828125,0.281250,0.945538
15.739,-0.343750,-0.812500,0.281250,0.925971
15.740,-0.343750,-0.812500,0.281250,0.925971
15.740,-0.359375,-0.812500,0.281250,0.931884
15.741,-0.359375,-0.828125,0.296875,0.950303
15.778,-0.359375,-0.828125,0.296875,0.950303
15.778,-0.375000,-0.812500,0.296875,0.942823
15.815,-0.359375,-0.828125,0.296875,0.950303
15.815,-0.359375,-0.828125,0.296875,0.950303
15.850,-0.359375,-0.828125,0.312500,0.955300
15.851,-0.359375,-0.828125,0.296875,0.950303
15.889,-0.359375,-0.843750,0.296875,0.963950
15.889,-0.375000,-0.828125,0.281250,0.951587
15.927,-0.359375,-0.843750,0.296875,0.963950
15.927,-0.375000,-0.843750,0.281250,0.965215
15.963,-0.375000,-0.828125,0.265625,0.947086
15.964,-0.375000,-0.828125,0.265625,0.947086
16.039,-0.375000,-0.828125,0.281250,0.951587
16.039,-0.375000,-0.828125,0.265625,0.947086
16.083,-0.375000,-0.828125,0.281250,0.951587
16.083,-0.375000,-0.828125,0.281250,0.951587
16.086,-0.359375,-0.828125,0.281250,0.945538
16.086,-0.359375,-0.828125,0.265625,0.941009
16.116,-0.359375,-0.828125,0.281250,0.945538
